prices_buy,prices_buy_forecast,demand_MW,demand_MW_forecast,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_daily
65.1,55.67568033,28.68,27.21163527,0.5,0.0,0.0,27.21163527,0.0,0.0,2225.4487131578944
62.12,53.07239038,27.12,25.61946785,0.5,12.56,0.0,38.17946785,0.0,-780.2272,2225.4487131578944
59.05,51.00181992,25.99,24.58397957,0.737452736318408,12.56,0.0,37.14397957,0.0,-741.668,2225.4487131578944
59.0,47.36623821,25.62,24.22109296,0.974905472636816,1.3273684210526253,0.0,25.548461381052626,0.0,-78.31473684210489,2225.4487131578944
56.63,47.40726052,25.66,24.17771765,1.0,0.0,0.0,24.17771765,0.0,0.0,2225.4487131578944
56.63,55.01003384,26.06,24.83470126,1.0,0.0,0.0,24.83470126,0.0,0.0,2225.4487131578944
61.66,68.31150847,28.58,26.19666667,1.0,0.0,0.0,26.19666667,0.0,0.0,2225.4487131578944
66.61,73.14173882,32.44,27.95922048,1.0,0.0,12.56,15.399220479999999,0.0,836.6216000000001,2225.4487131578944
73.0,83.79392558,35.25,34.90610052,0.7368944749934537,0.0,12.56,22.34610052,0.0,916.88,2225.4487131578944
73.0,65.41623894,36.63,34.65840509,0.47378894998690746,0.0,0.0,34.65840509,0.0,0.0,2225.4487131578944
65.0,65.25547287,36.22,34.97362482,0.47378894998690746,0.0,0.0,34.97362482,0.0,0.0,2225.4487131578944
63.82,59.10891214,35.17,33.81940341,0.47378894998690746,0.0,0.0,33.81940341,0.0,0.0,2225.4487131578944
62.19,56.47060763,33.26,34.18180884,0.47378894998690746,0.0,0.0,34.18180884,0.0,0.0,2225.4487131578944
59.5,51.56733,31.54,36.3375,0.47378894998690746,12.56,0.0,48.8975,0.0,-747.32,2225.4487131578944
56.99,55.1069477,31.52,37.42111111,0.7112416863053155,12.56,0.0,49.98111111,0.0,-715.7944000000001,2225.4487131578944
61.92,62.44495389,32.14,34.66035584,0.9486944226237235,0.0,0.0,34.66035584,0.0,0.0,2225.4487131578944
65.63,69.66330869,33.53,35.169247,0.9486944226237235,0.0,12.56,22.609246999999996,0.0,824.3127999999999,2225.4487131578944
82.47,80.99666667,37.37,37.80389646,0.6855888976171772,0.0,12.56,25.243896459999995,0.0,1035.8232,2225.4487131578944
82.79,74.2241846,38.78,39.1927837,0.42248337261063096,0.0,12.56,26.632783699999997,0.0,1039.8424000000002,2225.4487131578944
83.5,74.52112903,38.96,39.48984687,0.1593778476040847,0.0,7.608299999999993,31.881546870000008,0.0,635.2930499999994,2225.4487131578944
78.62,68.36196225,36.4,37.932,0.0,0.0,0.0,37.932,0.0,0.0,2225.4487131578944
72.94,64.14167772,33.51,35.10596615,0.0,0.0,0.0,35.10596615,0.0,0.0,2225.4487131578944
64.53,63.01678135,30.89,32.22280021,0.0,0.0,0.0,32.22280021,0.0,0.0,2225.4487131578944
60.32,57.17275082,28.02,30.26906953,0.0,0.0,0.0,30.26906953,0.0,0.0,2225.4487131578944
47.52,54.0043772,27.84,27.42375327,0.5,0.0,0.0,27.42375327,0.0,0.0,2568.1535605263157
46.63,53.44844374,26.31,25.74848372,0.5,12.56,0.0,38.30848372,0.0,-585.6728,2568.1535605263157
46.06,51.42142703,25.47,25.53479237,0.737452736318408,12.56,0.0,38.09479237,0.0,-578.5136,2568.1535605263157
40.74,46.27788363,25.28,24.89084903,0.974905472636816,1.3273684210526253,0.0,26.218217451052624,0.0,-54.07698947368396,2568.1535605263157
41.76,47.29682014,25.48,25.64475458,1.0,0.0,0.0,25.64475458,0.0,0.0,2568.1535605263157
47.67,49.4829036,27.25,27.12090313,1.0,0.0,0.0,27.12090313,0.0,0.0,2568.1535605263157
61.22,51.08825332,32.54,27.855,1.0,0.0,0.0,27.855,0.0,0.0,2568.1535605263157
66.25,60.86419929,38.5,37.86588619,1.0,0.0,0.0,37.86588619,0.0,0.0,2568.1535605263157
75.53,70.83969348,43.09,41.17336839,1.0,0.0,12.56,28.613368389999998,0.0,948.6568000000001,2568.1535605263157
65.9,65.54813428,43.77,41.34764044,0.7368944749934537,0.0,12.56,28.787640439999997,0.0,827.7040000000001,2568.1535605263157
59.94,54.91229247,42.87,41.52346237,0.47378894998690746,0.0,0.0,41.52346237,0.0,0.0,2568.1535605263157
53.11,55.45358764,42.18,40.53987421,0.47378894998690746,0.0,0.0,40.53987421,0.0,0.0,2568.1535605263157
48.41,53.85848748,39.65,39.26307532,0.47378894998690746,0.0,0.0,39.26307532,0.0,0.0,2568.1535605263157
48.23,50.57300333,39.08,36.53264045,0.47378894998690746,12.56,0.0,49.092640450000005,0.0,-605.7687999999999,2568.1535605263157
