prices_buy,prices_buy_forecast,demand_MW,demand_MW_forecast,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_daily
65.1,55.67568033,28.68,27.21163527,0.5,0.0,12.56,14.651635269999998,0.0,817.656,1661.0172033684194
62.12,53.07239038,27.12,25.61946785,0.23689447499345373,0.0,11.308749999999998,14.310717850000001,0.0,702.4995499999999,1661.0172033684194
59.05,51.00181992,25.99,24.58397957,0.0,12.56,0.0,37.14397957,0.0,-741.668,1661.0172033684194
59.0,47.36623821,25.62,24.22109296,0.23745273631840796,12.56,0.0,36.78109296,0.0,-741.0400000000001,1661.0172033684194
56.63,47.40726052,25.66,24.17771765,0.47490547263681593,12.56,0.0,36.73771765,0.0,-711.2728000000001,1661.0172033684194
56.63,55.01003384,26.06,24.83470126,0.7123582089552238,12.56,0.0,37.39470126,0.0,-711.2728000000001,1661.0172033684194
61.66,68.31150847,28.58,26.19666667,0.9498109452736319,0.0,12.56,13.636666669999999,0.0,774.4496,1661.0172033684194
66.61,73.14173882,32.44,27.95922048,0.6867054202670856,0.0,12.56,15.399220479999999,0.0,836.6216000000001,1661.0172033684194
73.0,83.79392558,35.25,34.90610052,0.4235998952605393,0.0,12.56,22.34610052,0.0,916.88,1661.0172033684194
73.0,65.41623894,36.63,34.65840509,0.16049437025399305,0.0,7.661599999999992,26.99680509000001,0.0,559.2967999999994,1661.0172033684194
65.0,65.25547287,36.22,34.97362482,2.7755575615628914e-17,12.56,0.0,47.53362482,0.0,-816.4,1661.0172033684194
63.82,59.10891214,35.17,33.81940341,0.237452736318408,12.56,0.0,46.37940341,0.0,-801.5792,1661.0172033684194
62.19,56.47060763,33.26,34.18180884,0.47490547263681593,12.56,0.0,46.741808840000004,0.0,-781.1064,1661.0172033684194
59.5,51.56733,31.54,36.3375,0.7123582089552238,12.56,0.0,48.8975,0.0,-747.32,1661.0172033684194
56.99,55.1069477,31.52,37.42111111,0.9498109452736319,2.6547368421052626,0.0,40.07584795210526,0.0,-151.29345263157893,1661.0172033684194
61.92,62.44495389,32.14,34.66035584,1.0,0.0,0.0,34.66035584,0.0,0.0,1661.0172033684194
65.63,69.66330869,33.53,35.169247,1.0,0.0,12.56,22.609246999999996,0.0,824.3127999999999,1661.0172033684194
82.47,80.99666667,37.37,37.80389646,0.7368944749934537,0.0,12.56,25.243896459999995,0.0,1035.8232,1661.0172033684194
82.79,74.2241846,38.78,39.1927837,0.47378894998690746,0.0,12.56,26.632783699999997,0.0,1039.8424000000002,1661.0172033684194
83.5,74.52112903,38.96,39.48984687,0.2106834249803612,0.0,10.057499999999992,29.43234687000001,0.0,839.8012499999993,1661.0172033684194
78.62,68.36196225,36.4,37.932,0.0,12.56,0.0,50.492000000000004,0.0,-987.4672,1661.0172033684194
72.94,64.14167772,33.51,35.10596615,0.23745273631840796,12.56,0.0,47.66596615,0.0,-916.1264,1661.0172033684194
