method,n_days,mean_day_profit,std_day_profit,median_day_profit,p5_day_profit,total_profit
GPT4,19,1928.7657894736844,533.3991617115832,2037.82,1053.0030000000002,36646.55
HeurQuantile,19,1938.3932421710151,539.8294916557836,2047.440779999999,707.4917139999993,36829.471601249286
HeurTime,19,1544.517300447367,294.60288863182996,1495.180578499999,1204.6942221499985,29345.828708499972
MILP,19,2138.183447760242,365.6629002171025,2191.9139595983384,1631.6643810487533,40625.485507444595
RL-PPO,19,2024.4612662684124,510.79946788029065,2103.7948939400267,1017.4006023134737,38464.764059099834
