day_index,date,price_max,price_min,price_mean,price_std,price_range,abs_hourly_change_mean,abs_hourly_change_max,spike_count_q95,is_spike_day,is_high_vol_day,stress_regime
71,2019-03-13,80.17,45.6,59.75875,10.551696880844206,34.57,4.869565217391305,10.920000000000002,2,False,False,Normal
72,2019-03-14,79.87,41.54,57.22708333333333,10.120931164914005,38.330000000000005,5.028260869565217,9.869999999999997,2,False,False,Normal
73,2019-03-15,80.05,43.41,57.45666666666667,11.545069591997184,36.64,5.248260869565217,11.590000000000003,2,False,False,Normal
74,2019-03-16,71.31,24.83,46.713750000000005,11.539764074334638,46.480000000000004,5.324347826086957,10.57,2,False,False,Normal
75,2019-03-17,70.68,44.48,56.30166666666667,5.768974490034315,26.20000000000001,3.863913043478261,11.02000000000001,2,False,False,Normal
76,2019-03-18,79.15,35.0,54.7475,11.931857339292046,44.150000000000006,4.42913043478261,13.969999999999999,2,False,False,Normal
77,2019-03-19,79.29,49.73,61.36958333333334,8.36007617978952,29.56000000000001,4.270000000000001,11.590000000000003,2,False,False,Normal
78,2019-03-20,71.68,47.15,54.74666666666667,6.542418557361653,24.53000000000001,3.7065217391304346,8.610000000000007,2,False,False,Normal
79,2019-03-21,71.26,38.34,51.39791666666667,8.075039899843098,32.92,4.277826086956522,9.860000000000007,2,False,False,Normal
80,2019-03-22,77.26,42.89,54.522083333333335,10.470579477824968,34.370000000000005,5.032608695652174,15.229999999999997,2,False,False,Normal
81,2019-03-23,73.06,28.52,46.88791666666666,11.118137543111086,44.540000000000006,4.615652173913043,14.130000000000003,2,False,False,Normal
82,2019-03-24,68.89,37.15,47.36333333333334,9.349713163080677,31.740000000000002,3.4017391304347835,9.329999999999998,2,False,False,Normal
83,2019-03-25,72.71,34.41,49.33541666666667,10.65973283749019,38.3,4.890434782608695,12.110000000000007,2,False,False,Normal
84,2019-03-26,73.63,38.0,51.35166666666667,9.604376568802493,35.629999999999995,4.517826086956521,10.900000000000006,2,False,False,Normal
85,2019-03-27,69.72,39.99,50.79625000000001,8.281301521578861,29.729999999999997,3.928695652173914,11.600000000000001,2,False,False,Normal
86,2019-03-28,70.49,38.92,49.275,8.24962502441646,31.569999999999993,4.124782608695653,11.279999999999994,2,False,False,Normal
87,2019-03-29,79.41,39.95,55.817499999999995,10.52049149537928,39.459999999999994,4.9143478260869555,16.019999999999996,2,False,False,Normal
88,2019-03-30,77.95,26.79,49.415,12.618481959273936,51.160000000000004,5.163913043478261,12.799999999999997,2,False,True,High Volatility
89,2019-03-31,71.07,35.92,49.88958333333333,9.82895654560352,35.14999999999999,4.38695652173913,10.560000000000002,2,False,False,Normal
90,2019-04-01,80.71,47.0,67.22083333333333,10.661871895630739,33.709999999999994,3.601304347826087,11.829999999999991,2,False,False,Normal
91,2019-04-02,80.39,44.97,65.02416666666666,9.11058768527116,35.42,4.275217391304347,13.520000000000003,2,False,False,Normal
92,2019-04-03,66.93,36.32,49.669999999999995,8.430628425697217,30.610000000000007,4.194782608695654,9.270000000000003,2,False,False,Normal
93,2019-04-04,77.99,42.59,57.34958333333333,10.559133478597593,35.39999999999999,5.519565217391304,12.659999999999997,2,False,False,Normal
94,2019-04-05,66.52,39.21,57.15083333333334,6.200130374973307,27.309999999999995,2.9047826086956516,9.420000000000002,2,False,False,Normal
95,2019-04-06,57.2,32.96,43.375416666666666,7.980541541593619,24.240000000000002,4.49304347826087,15.919999999999995,2,False,False,Normal
96,2019-04-07,72.12,45.89,57.345,7.6773172397654665,26.230000000000004,3.458260869565218,12.659999999999997,2,False,False,Normal
97,2019-04-08,59.43,35.85,43.026250000000005,6.57907077653134,23.58,2.398695652173913,9.800000000000004,2,False,False,Normal
98,2019-04-09,74.62,37.52,49.81166666666667,10.706330783259956,37.1,4.477826086956522,12.909999999999997,2,False,False,Normal
99,2019-04-10,75.93,26.68,58.26208333333333,14.267236099041645,49.25000000000001,5.661739130434783,23.32,2,False,True,High Volatility
100,2019-04-11,54.3,11.32,37.08833333333333,11.517076420488072,42.98,4.932608695652173,18.009999999999998,2,False,False,Normal
101,2019-04-12,74.95,39.83,55.696666666666665,9.981472692015405,35.120000000000005,4.805652173913046,12.410000000000004,2,False,False,Normal
102,2019-04-13,69.17,50.42,55.840833333333336,4.197743614047353,18.75,2.698695652173912,9.850000000000001,2,False,False,Normal
103,2019-04-14,62.97,52.48,55.65958333333333,3.0567608305790483,10.490000000000002,1.8356521739130434,4.839999999999996,2,False,False,Normal
104,2019-04-15,71.55,41.21,55.43333333333334,8.168328905072887,30.339999999999996,4.468260869565217,8.29,2,False,False,Normal
105,2019-04-16,73.44,48.99,58.382083333333334,6.312813731621179,24.449999999999996,3.3273913043478247,9.849999999999994,2,False,False,Normal
106,2019-04-17,75.04,50.57,59.364583333333336,6.782975478400295,24.470000000000006,3.6313043478260876,10.320000000000007,2,False,False,Normal
107,2019-04-18,73.38,45.76,55.04916666666667,7.620448986353965,27.619999999999997,3.742173913043479,11.630000000000003,2,False,False,Normal
108,2019-04-19,69.74,38.26,51.157916666666665,7.259473558088057,31.479999999999997,3.8165217391304362,11.229999999999997,2,False,False,Normal
109,2019-04-20,68.96,20.66,46.272083333333335,11.746755696108522,48.3,5.311304347826087,12.519999999999996,3,False,False,Normal
110,2019-04-21,57.02,6.15,39.13583333333333,14.530149140940397,50.870000000000005,5.066521739130434,19.32,2,False,True,High Volatility
111,2019-04-22,59.95,7.36,35.708333333333336,14.17307541314399,52.59,4.99695652173913,16.080000000000002,2,False,True,High Volatility
112,2019-04-23,79.78,37.11,59.97458333333333,13.927001293754225,42.67,6.431304347826088,18.83,2,False,True,High Volatility
113,2019-04-24,73.83,41.0,55.81875,9.524411342074822,32.83,5.372608695652175,12.850000000000001,2,False,False,Normal
114,2019-04-25,66.52,30.0,45.48500000000001,9.036531654779177,36.519999999999996,3.5521739130434766,8.909999999999997,2,False,False,Normal
115,2019-04-26,60.42,41.72,51.76083333333333,5.7203617373202125,18.700000000000003,3.151739130434783,7.380000000000003,2,False,False,Normal
116,2019-04-27,61.35,24.95,45.66833333333333,10.510944882304377,36.400000000000006,4.217826086956522,10.899999999999999,2,False,False,Normal
117,2019-04-28,58.55,19.44,37.56583333333334,11.075182564661391,39.11,4.308260869565217,13.61,2,False,False,Normal
118,2019-04-29,61.16,37.5,51.45041666666666,7.518275981359293,23.659999999999997,3.23391304347826,9.11,2,False,False,Normal
