method,n_days,mean_day_profit,std_day_profit,median_day_profit,p5_day_profit,total_profit
GPT4,37,1724.2291891891894,693.6242045724534,1903.31,471.918,63796.48
HeurQuantile,37,1388.0509956416854,647.4727586955438,1282.4820049999994,425.21110799999974,51357.88683874236
HeurTime,37,1534.008250554053,383.21203677504155,1608.792333999999,901.1127538999987,56758.30527049996
MILP,37,2205.868284622258,341.76007041667776,2235.677024044321,1657.7409866,81617.12653102355
RL-PPO,37,1951.4649283801346,418.3507899624048,1985.128212416962,1287.773974283515,72204.20235006498
