method,seed,day_index,hour,prices_actual,prices_forecast,prices_bias_corrected,actual_demand,forecast_demand,demand_bias_corrected,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_step_system,day
scenario_expected,0,0,0,25.754972400557588,65.23578011251567,102.04695798340624,14071.335,14892.2448285104,15110.747111197285,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,1,29.42880177433491,78.27480234814064,116.59145229995067,13646.239999999998,14384.321241420876,14602.55722931487,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,2,25.02826262750452,74.53467528940666,109.47139415730044,13233.3055,13935.631227462405,14139.52825989978,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,3,24.99439571497907,84.856796200173,120.7547409889797,13049.0658,14093.80498382434,14309.681156915922,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,4,23.85236113230045,77.517580478007,115.84782832789286,13016.8949,14174.451432369453,14399.097102972832,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,5,29.477642478151164,86.43587359131787,127.84171670137621,13165.573,14142.327788825402,14436.042728252867,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,6,19.032508738575576,90.25583428564411,143.77879208099048,13560.3336,15145.56540353764,15478.01612201553,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,7,49.867567662334615,71.82634362837999,117.38026829114136,13895.238100000002,15305.034411255787,15519.125218240246,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,8,20.46807043223933,83.57920490238806,133.05941666437155,14094.3467,15268.103633200564,15293.313749834657,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,9,27.389620984236817,87.12789423003667,127.33424133973611,14369.8588,15242.737328360105,15109.841034289015,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,10,16.558984769637878,84.20064503505807,129.45467981974446,14491.0737,15927.877202305694,15633.158310019335,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,11,16.629582048797992,99.83562945891609,144.7366513762476,14571.871,16058.192586710902,15807.680565504368,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,12,22.245501948926737,99.96367834568872,146.10673907022382,14766.8968,14621.14207195594,14163.786804717027,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,13,25.099192050058345,100.5954803990565,147.92104332813608,15086.4755,14427.170556336943,14006.105779232734,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,14,29.289364261434624,102.21907734004034,147.8867063836702,15327.2627,14962.394485591412,14560.632258199454,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,15,32.02563834570497,111.10455568515394,165.16999801505895,15876.0581,15443.097163313145,15101.929034163591,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,16,28.04592764385765,148.32106119171704,216.0139019351234,16857.5018,17728.983756612193,17513.118374735262,0.5,0.0,0.0,,0.0,0.0,,0
scenario_expected,0,0,17,26.536458024113728,128.18437728459978,196.5879470085448,17422.7578,18201.423996396374,17946.992122958713,0.5,0.0,0.0,,0.0,0.0,,0
