prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,cumulative_profit,day
51.0,46.56980749,22.74,25.26011461,0.5,0.0,10.78,14.48011461,0.0,549.78,549.78,0
46.27,39.53773847,21.5,24.04358788,0.23690312030946836,0.0,0.0,24.04358788,0.0,0.0,549.78,0
39.78,37.0457292,20.5,22.65896303,0.23690312030946836,10.78,0.0,33.43896303,0.0,-428.8284,120.95159999999998,0
27.87,33.97309305,19.64,21.64553853,0.4743480542301732,10.78,0.0,32.42553853,0.0,-300.4386,-179.48700000000002,0
22.0,33.77742699,19.3,22.08336775,0.711792988150878,10.78,0.0,32.86336775,0.0,-237.16,-416.64700000000005,0
20.0,38.45316148,19.65,22.12202695,0.9492379220715828,2.3045983379501433,0.0,24.42662528795014,0.0,-46.091966759002865,-462.7389667590029,0
20.9,46.85447987,20.86,22.14666667,1.0,0.0,0.0,22.14666667,0.0,0.0,-462.7389667590029,0
26.54,54.84395765,22.21,25.12610667,1.0,0.0,0.0,25.12610667,0.0,0.0,-462.7389667590029,0
25.0,58.57893156,23.13,28.17412223,1.0,0.0,10.78,17.394122229999997,0.0,269.5,-193.2389667590029,0
25.0,53.37109246,24.38,29.68239749,0.7369031203094684,0.0,0.0,29.68239749,0.0,0.0,-193.2389667590029,0
34.64,53.19388942,25.29,27.41691718,0.7369031203094684,0.0,0.0,27.41691718,0.0,0.0,-193.2389667590029,0
41.03,50.15505505,25.88,29.55699994,0.7369031203094684,1.1645983379501403,0.0,30.72159827795014,0.0,-47.78346980609426,-241.02243656509717,0
48.97,49.06797744,26.09,29.56387416,0.7625550660792952,10.78,0.0,40.34387416,0.0,-527.8965999999999,-768.919036565097,0
41.06,50.47452,24.73,27.9,1.0,0.0,0.0,27.9,0.0,0.0,-768.919036565097,0
37.95,52.19668328,24.27,27.81625,1.0,0.0,0.0,27.81625,0.0,0.0,-768.919036565097,0
53.59,59.96764545,24.6,28.89797657,1.0,0.0,0.0,28.89797657,0.0,0.0,-768.919036565097,0
58.65,66.90326064,25.9,30.39148336,1.0,0.0,10.78,19.611483359999998,0.0,632.247,-136.67203656509707,0
64.64,61.94714286,29.11,31.63044248,0.7369031203094684,0.0,0.0,31.63044248,0.0,0.0,-136.67203656509707,0
65.0,65.59960145,30.11,35.75480032,0.7369031203094684,0.0,8.633500000000007,27.121300319999996,0.0,561.1775000000005,424.5054634349034,0
66.26,105.25,30.6,36.33831261,0.5261937593810633,0.0,10.78,25.55831261,0.0,714.2828000000001,1138.7882634349035,0
65.99,68.6268938,29.46,32.71125,0.26309687969053164,0.0,10.78,21.93125,0.0,711.3721999999999,1850.1604634349032,0
62.75,63.09534354,28.07,31.91367603,0.0,0.0,0.0,31.91367603,0.0,0.0,1850.1604634349032,0
58.65,58.80213862,25.93,29.36570087,0.0,0.0,0.0,29.36570087,0.0,0.0,1850.1604634349032,0
54.91,47.13727199,23.46,25.00305726,0.0,0.0,0.0,25.00305726,0.0,0.0,1850.1604634349032,0
55.26,42.90344333,28.28,27.13701181,0.5,0.0,0.0,27.13701181,0.0,0.0,1850.1604634349032,1
54.2,44.05515003,26.75,25.60515734,0.5,0.0,0.0,25.60515734,0.0,0.0,1850.1604634349032,1
52.7,41.10857634,25.94,25.26313199,0.5,10.78,0.0,36.04313199,0.0,-568.106,1282.0544634349033,1
49.97,40.09653982,25.71,24.70329009,0.7374449339207048,10.78,0.0,35.48329009,0.0,-538.6766,743.3778634349032,1
49.43,41.50442352,25.94,25.51865002,0.9748898678414095,1.140000000000008,0.0,26.658650020000007,0.0,-56.35020000000039,687.0276634349028,1
54.83,44.38070047,27.52,25.96447335,1.0,0.0,0.0,25.96447335,0.0,0.0,687.0276634349028,1
62.9,47.823592,32.56,32.65666667,1.0,0.0,0.0,32.65666667,0.0,0.0,687.0276634349028,1
66.69,52.68966498,39.06,38.2113038,1.0,0.0,0.0,38.2113038,0.0,0.0,687.0276634349028,1
79.2,64.89434128,43.42,41.32173707,1.0,0.0,10.78,30.541737069999996,0.0,853.776,1540.8036634349028,1
80.08,65.34984196,44.75,41.5234966,0.7369031203094684,0.0,10.78,30.7434966,0.0,863.2624,2404.066063434903,1
73.25,61.40948873,44.39,40.85685583,0.4738062406189367,0.0,5.48035000000001,35.37650582999999,0.0,401.4356375000008,2805.5017009349035,1
74.7,65.01110715,43.98,39.7731674,0.34005271700001205,0.0,10.78,28.993167399999997,0.0,805.266,3610.7677009349036,1
66.92,53.23457393,41.52,38.88298378,0.07695583730948041,10.78,0.0,49.662983780000005,0.0,-721.3976,2889.3701009349033,1
63.03,55.08223214,40.86,36.53264045,0.3144007712301852,10.78,0.0,47.31264045,0.0,-679.4634,2209.9067009349033,1
69.66,62.9936134,42.03,37.37011299,0.55184570515089,0.0,10.78,26.59011299,0.0,750.9347999999999,2960.8415009349033,1
68.93,60.42972374,42.43,38.19242661,0.28874882546035846,0.0,0.0,38.19242661,0.0,0.0,2960.8415009349033,1
66.55,60.66207874,43.04,42.70274279,0.28874882546035846,0.0,0.0,42.70274279,0.0,0.0,2960.8415009349033,1
