method,day_index,hour,prices_actual,prices_forecast,prices_bias_corrected,actual_demand,forecast_demand,demand_bias_corrected,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_step_system,day
bias_corrected_det,247,15,30.97,71.31091484005495,71.3187145801099,25.88,42.30291153815934,42.33058592631868,0.7894736842105263,0.0,0.0,42.30291153815934,0.0,0.0,-1310.1211703367949,247
bias_corrected_det,247,16,36.99,75.39802211681318,75.32973689362636,26.36,42.21955481986264,42.257202169725275,0.7894736842105263,0.0,10.7825,31.437054819862638,0.0,398.84467500000005,-1162.856657786719,247
bias_corrected_det,247,17,39.48,66.17170329634615,66.1734065926923,27.24,42.228317496895606,42.25064320379121,0.5263157894736842,0.0,0.0,42.228317496895606,0.0,0.0,-1667.1739747774384,247
bias_corrected_det,247,18,45.68,68.50958530667582,68.51169778335164,28.62,41.36088692593407,41.366537821868135,0.5263157894736842,0.0,0.0,41.36088692593407,0.0,0.0,-1889.3653147766681,247
bias_corrected_det,247,19,58.33,69.98068155472527,69.99310223945054,30.2,40.514054238736264,40.518091247472526,0.5263157894736842,0.0,0.0,40.514054238736264,0.0,0.0,-2363.184783745486,247
bias_corrected_det,247,20,60.44,69.66652821164834,69.67717850329669,31.1,40.8145354085989,40.8210708171978,0.5263157894736842,0.0,0.0,40.8145354085989,0.0,0.0,-2466.8305200957175,247
bias_corrected_det,247,21,60.88,69.62959184131869,69.63860431263737,31.63,39.54146558049451,39.547856450989016,0.5263157894736842,0.0,0.0,39.54146558049451,0.0,0.0,-2407.284424540506,247
bias_corrected_det,247,22,58.17,77.81618846483516,77.83246819967033,29.88,35.703654063104395,35.71167359620879,0.5263157894736842,0.0,10.7825,24.921154063104396,0.0,627.218025,-1449.6635318507826,247
bias_corrected_det,247,23,48.65,74.0239833803022,74.02398338060439,27.29,32.1262635096978,32.1262635093956,0.2631578947368421,0.0,10.7825,21.3437635096978,0.0,524.568625,-1038.374094746798,247
bias_corrected_det,248,0,50.97,73.17620559313187,73.19420751626373,33.83,29.491007359065932,29.494154748131866,0.5,0.0,10.7825,18.708507359065933,0.0,549.584025,-953.5726200915906,248
bias_corrected_det,248,1,51.86,71.06750966096153,71.14021636192307,32.06,27.666975517032967,27.667050284065933,0.2368421052631579,0.0,9.704250000000002,17.962725517032965,0.0,503.2624050000001,-931.5469453133295,248
bias_corrected_det,248,2,49.2,68.2668969067033,68.31087444340659,30.76,26.819238063818684,26.842411267637367,0.0,0.0,0.0,26.819238063818684,0.0,0.0,-1319.5065127398793,248
bias_corrected_det,248,3,46.82,64.83700652563186,64.89007422126373,30.18,26.101824692857143,26.107119225714285,0.0,0.0,0.0,26.101824692857143,0.0,0.0,-1222.0874321195715,248
bias_corrected_det,248,4,47.03,60.566400320219785,60.56666445043957,30.06,25.83374296510989,25.84343406021978,0.0,10.7825,0.0,36.61624296510989,0.0,-507.10097500000006,-1722.061906649118,248
bias_corrected_det,248,5,45.52,57.983075583763735,58.05170063752747,30.48,26.97891555714286,26.979126464285716,0.2375,10.7825,0.0,37.761415557142854,0.0,-490.8194000000001,-1718.8996361611428,248
bias_corrected_det,248,6,48.43,58.962370632692306,58.96351643538461,33.63,30.243494506153844,30.24898901230769,0.475,10.7825,0.0,41.02599450615384,0.0,-522.1964750000001,-1986.8889139330306,248
bias_corrected_det,248,7,49.39,56.772149686675824,56.75762671335165,38.51,28.869843357884616,28.84846004576923,0.7124999999999999,10.7825,0.0,39.65234335788462,0.0,-532.547675,-1958.4292384459213,248
bias_corrected_det,248,8,56.08,66.28934824027473,66.30167181054946,43.67,33.87286613134615,33.8927183926923,0.95,0.0,0.0,33.87286613134615,0.0,0.0,-1899.590332645892,248
bias_corrected_det,248,9,58.54,74.22916059211538,74.24214130423076,45.5,34.80189326505494,34.80283139010989,0.95,0.0,10.7825,24.019393265054944,0.0,631.2075500000001,-1406.0952817363163,248
bias_corrected_det,248,10,59.58,72.33229106942308,72.29282770884616,46.07,33.056896808324176,33.02112993664835,0.6868421052631579,0.0,10.7825,22.274396808324177,0.0,642.4213500000001,-1327.1085618399545,248
bias_corrected_det,248,11,59.58,67.74427093403847,67.69220234807693,46.52,35.35320041620879,35.33686274241759,0.42368421052631583,0.0,0.0,35.35320041620879,0.0,0.0,-2106.34368079772,248
bias_corrected_det,248,12,51.39,65.18859076695055,65.19142965390111,45.21,36.199209023076925,36.21222741615385,0.42368421052631583,0.0,0.0,36.199209023076925,0.0,0.0,-1860.2773516959232,248
bias_corrected_det,248,13,52.01,62.572361188406596,62.47855904681319,45.55,34.999881424368134,35.005318408736265,0.42368421052631583,4.599736842105258,0.0,39.59961826647339,0.0,-239.23231315789442,-2059.576146039281,248
bias_corrected_det,248,14,58.69,58.76990763593407,58.786532461868134,46.67,31.977290941263732,31.985634512527465,0.5249999999999999,10.7825,0.0,42.75979094126373,0.0,-632.824925,-2509.572130342768,248
bias_corrected_det,248,15,59.61,60.185385290054946,60.19318503010989,46.9,31.55438061815934,31.58205500631868,0.7625,10.7825,0.0,42.33688061815934,0.0,-642.744825,-2523.7014536484785,248
bias_corrected_det,248,16,60.01,63.54888032681319,63.48059510362638,47.18,31.502020669862638,31.539668019725276,1.0,0.0,0.0,31.502020669862638,0.0,0.0,-1890.4362603984569,248
bias_corrected_det,248,17,60.94,67.58045329634615,67.5821565926923,46.65,33.59810705689561,33.620432763791214,1.0,0.0,0.0,33.59810705689561,0.0,0.0,-2047.4686440472183,248
