method,mean_terminal_soc,p90_terminal_soc,max_terminal_soc,mean_stranded_MWh,total_stranded_MWh,mean_repair_cost,total_repair_cost,late_charge_days,late_charge_freq,mean_eoh_charge,mean_eoh_profit
MILP,0.018164544706394923,0.0,0.2630968796905316,0.19581379193493725,71.27622026431716,9.50852375915108,3461.1026483309934,24,0.06593406593406594,0.6245724635475327,637.219501463171
MILP(BC),0.0049161364950838626,0.0,0.2631578947368421,0.05299595141700403,19.290526315789467,2.5638506072874487,933.2416210526313,9,0.024725274725274724,0.029622252747252747,1048.610122752919
MILP(Stoch),0.0049161364950838626,0.0,0.2631578947368421,0.05299595141700403,19.290526315789467,2.5290603238866387,920.5779578947365,11,0.03021978021978022,0.059244505494505495,1049.4337043216003
"MILP(CVaR$_{\beta=0.95,\lambda=0.5}$)",0.004995662232504339,0.0,0.2631578947368421,0.05385323886639677,19.602578947368425,2.608767014170041,949.591193157895,18,0.04945054945054945,0.08886675824175826,981.696789655125
HeurTime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364,1.0,21.56,-307.53870632692315
HeurQuantile,0.06110082609008743,0.2374449339207048,0.4748898678414096,0.6586669052511425,239.75475351141586,29.778602026638225,10839.411137696314,161,0.4423076923076923,6.663461538461538,-129.97497081593414
GPT-4,0.07219212637362638,0.2503962999999995,0.800121,0.7782311223076923,283.27612852,36.81175459055769,13399.478670962999,15,0.04120879120879121,0.2770112637362637,1382.0117582417583
RL-PPO,0.002663221993166338,0.0,0.233145385980606,0.028709533086333127,10.450270043425258,1.6466739571524636,599.3893204034968,97,0.2664835164835165,1.1464498920934685,217.6453496013472
