prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW
65.1,55.67568033,28.68,27.21163527,0.5,0.0,3.5114108502864836,25.168589149713515,0.0
62.12,53.07239038,27.12,25.61946785,0.41430044174194336,3.189654636383057,0.0,30.30965463638306,0.0
59.05,51.00181992,25.99,24.58397957,0.4845571517944336,6.780210709571839,0.0,32.770210709571835,0.0
59.0,47.36623821,25.62,24.22109296,0.6339010000228882,9.731676042079927,0.0,35.35167604207993,0.0
56.63,47.40726052,25.66,24.17771765,0.8482550978660583,6.889218556880952,0.0,32.54921855688095,0.0
56.63,55.01003384,26.06,24.83470126,1.0,0.0,0.0,26.06,0.0
61.66,68.31150847,28.58,26.19666667,1.0,0.0,0.0,28.58,0.0
66.61,73.14173882,32.44,27.95922048,1.0,0.0,1.8913433770239352,30.54865662297606,0.0
73.0,83.79392558,35.25,34.90610052,0.9538398385047913,0.0,4.542465895622969,30.707534104377032,0.0
73.0,65.41623894,36.63,34.65840509,0.8429763317108154,0.0,4.002432007551193,32.62756799244881,0.0
65.0,65.25547287,36.22,34.97362482,0.7452929019927979,0.0,0.2307816046178341,35.98921839538217,0.0
63.82,59.10891214,35.17,33.81940341,0.7396604418754578,10.78,0.0,45.95,0.0
62.19,56.47060763,33.26,34.18180884,0.9771053791046143,1.0394157886505129,0.0,34.29941578865051,0.0
59.5,51.56733,31.54,36.3375,1.0,0.0,0.0,31.54,0.0
56.99,55.1069477,31.52,37.42111111,1.0,0.0,0.0,31.52,0.0
61.92,62.44495389,32.14,34.66035584,1.0,0.0,0.0,32.14,0.0
65.63,69.66330869,33.53,35.169247,1.0,0.0,0.0,33.53,0.0
82.47,80.99666667,37.37,37.80389646,1.0,0.0,8.02451648631692,29.345483513683078,0.0
82.79,74.2241846,38.78,39.1927837,0.8041535019874573,0.0,10.779999561637641,28.00000043836236,0.0
83.5,74.52112903,38.96,39.48984687,0.5410566329956055,0.0,10.78,28.18,0.0
78.62,68.36196225,36.4,37.932,0.2779597342014313,0.0,10.779999790594912,25.620000209405084,0.0
72.94,64.14167772,33.51,35.10596615,0.01486285962164402,0.0,0.6089833787074312,32.90101662129257,0.0
64.53,63.01678135,30.89,32.22280021,0.0,0.0,0.0,30.89,0.0
60.32,57.17275082,28.02,30.26906953,0.0,0.0,0.0,28.02,0.0
